name,street,city,visit,infractions
Algoma Manor,145  Dawson Street,Thessalon,2017-09-12,No infractions found at the time of inspection
Algoma Manor,145  Dawson Street,Thessalon,2017-09-12,No infractions found at the time of inspection
Algoma Manor,145  Dawson Street,Thessalon,2017-05-24,"Food contact surfaces properly designed, constructed, installed and maintained"
Algoma Manor,145  Dawson Street,Thessalon,2017-05-24,No infractions found at the time of inspection
Algoma Manor,145  Dawson Street,Thessalon,2017-02-14,No infractions found at the time of inspection
Algoma Manor,145  Dawson Street,Thessalon,2017-02-14,No infractions found at the time of inspection
Algoma Residential Community Hospice,229 Fourth Line,Sault Ste. Marie,2017-09-26,No infractions found at the time of inspection
Algoma Residential Community Hospice,229 Fourth Line,Sault Ste. Marie,2017-09-26,No infractions found at the time of inspection
Algoma Residential Community Hospice,229 Fourth Line,Sault Ste. Marie,2017-02-27,No infractions found at the time of inspection
Algoma Residential Community Hospice,229 Fourth Line,Sault Ste. Marie,2017-02-27,Separate raw foods from ready-to-eat foods during storage and handling
Algoma Residential Community Hospice,229 Fourth Line,Sault Ste. Marie,2016-10-04,No infractions found at the time of inspection
Algoma Residential Community Hospice,229 Fourth Line,Sault Ste. Marie,2016-10-04,No infractions found at the time of inspection
Algoma Rod & Gun Club Inc.,226 Connor Road,Sault Ste. Marie,2016-12-20,No infractions found at the time of inspection
Algoma Rod & Gun Club Inc.,226 Connor Road,Sault Ste. Marie,2016-12-20,No infractions found at the time of inspection
Algoma Rod & Gun Club Inc.,226 Connor Road,Sault Ste. Marie,2015-12-21,No infractions found at the time of inspection
Algoma Rod & Gun Club Inc.,226 Connor Road,Sault Ste. Marie,2015-12-21,No infractions found at the time of inspection
Algoma Rod & Gun Club Inc.,226 Connor Road,Sault Ste. Marie,2014-12-17,No infractions found at the time of inspection
Algoma Rod & Gun Club Inc.,226 Connor Road,Sault Ste. Marie,2014-12-17,No infractions found at the time of inspection
Algoma Treatment and Remand Centre,800  Great Northern Road,Sault Ste. Marie,2017-10-19,No infractions found at the time of inspection
Algoma Treatment and Remand Centre,800  Great Northern Road,Sault Ste. Marie,2017-10-19,No infractions found at the time of inspection
Algoma Treatment and Remand Centre,800  Great Northern Road,Sault Ste. Marie,2017-04-27,No infractions found at the time of inspection
Algoma Treatment and Remand Centre,800  Great Northern Road,Sault Ste. Marie,2017-04-27,No infractions found at the time of inspection
Algoma Treatment and Remand Centre,800  Great Northern Road,Sault Ste. Marie,2016-10-19,No infractions found at the time of inspection
Algoma Treatment and Remand Centre,800  Great Northern Road,Sault Ste. Marie,2016-10-19,No infractions found at the time of inspection
Algoma University Student Food Bank,1520 Queen Street East,Sault Ste. Marie,2017-03-06,"Adequate protection against the entrance of insects, birds, rodents, and other pests and animals"
Algoma University Student Food Bank,1520 Queen Street East,Sault Ste. Marie,2017-03-06,No condemnation / seizure required
Algoma University Student Food Bank,1520 Queen Street East,Sault Ste. Marie,2017-03-06,No infractions found at the time of inspection
Algoma University Student Food Bank,1520 Queen Street East,Sault Ste. Marie,2016-09-27,No condemnation / seizure required
Algoma University Student Food Bank,1520 Queen Street East,Sault Ste. Marie,2016-09-27,No infractions found at the time of inspection
Algoma University Student Food Bank,1520 Queen Street East,Sault Ste. Marie,2015-10-05,No infractions found at the time of inspection
Algoma University Student Food Bank,1520 Queen Street East,Sault Ste. Marie,2015-10-05,No infractions found at the time of inspection
Algoma's Grand Gardens,68 Dennis Street,Sault Ste. Marie,2017-11-16,No infractions found at the time of inspection
Algoma's Grand Gardens,68 Dennis Street,Sault Ste. Marie,2017-11-16,No infractions found at the time of inspection
Algoma's Grand Gardens,68 Dennis Street,Sault Ste. Marie,2017-08-11,"Floors, walls, and ceilings clean and in good repair"
Algoma's Grand Gardens,68 Dennis Street,Sault Ste. Marie,2017-08-11,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Algoma's Grand Gardens,68 Dennis Street,Sault Ste. Marie,2017-03-17,No infractions found at the time of inspection
Algoma's Grand Gardens,68 Dennis Street,Sault Ste. Marie,2017-03-17,No infractions found at the time of inspection
Algonquin Hotel Rock Star Bar,864  Queen Street,Sault Ste. Marie,2016-11-25,"Equipment, non-food contact surfaces and linen are maintained, designed, constructed, installed and accessible for cleaning"
Algonquin Hotel Rock Star Bar,864  Queen Street,Sault Ste. Marie,2016-11-25,"Food contact surfaces properly designed, constructed, installed and maintained"
Algonquin Hotel Rock Star Bar,864  Queen Street,Sault Ste. Marie,2016-11-25,Hand washing basin with supplies of soap and paper towels in dispensers
Algonquin Hotel Rock Star Bar,864  Queen Street,Sault Ste. Marie,2016-11-25,No infractions found at the time of inspection
Algonquin Hotel Rock Star Bar,864  Queen Street,Sault Ste. Marie,2015-11-20,No infractions found at the time of inspection
Algonquin Hotel Rock Star Bar,864  Queen Street,Sault Ste. Marie,2015-11-20,No infractions found at the time of inspection
Algonquin Hotel Rock Star Bar,864  Queen Street,Sault Ste. Marie,2014-11-23,No infractions found at the time of inspection
Algonquin Hotel Rock Star Bar,864  Queen Street,Sault Ste. Marie,2014-11-23,No infractions found at the time of inspection
All Tribes Christian Camp Kitchen,1065  Hilton Road,Richard's Landing,2017-07-20,No infractions found at the time of inspection
All Tribes Christian Camp Kitchen,1065  Hilton Road,Richard's Landing,2017-07-20,Liquid wastes handled and collected in sanitary manner
All Tribes Christian Camp Kitchen,1065  Hilton Road,Richard's Landing,2016-07-20,No infractions found at the time of inspection
All Tribes Christian Camp Kitchen,1065  Hilton Road,Richard's Landing,2016-07-20,No infractions found at the time of inspection
All Tribes Christian Camp Kitchen,1065  Hilton Road,Richard's Landing,2015-08-18,No infractions found at the time of inspection
All Tribes Christian Camp Kitchen,1065  Hilton Road,Richard's Landing,2015-08-18,No infractions found at the time of inspection
Ambassador Motel Mobile Food Cart,1275  Great Northern Road,Sault Ste. Marie,2017-06-20,"Equipment, non-food contact surfaces and linen are maintained, designed, constructed, installed and accessible for cleaning"
Ambassador Motel Mobile Food Cart,1275  Great Northern Road,Sault Ste. Marie,2017-06-20,Food protected from potential contamination and adulteration
Ambassador Motel Mobile Food Cart,1275  Great Northern Road,Sault Ste. Marie,2017-06-20,No infractions found at the time of inspection
